/home/matata/projet_iot/api/app.py:197: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt_client.Client(client_id=id_client, callback_api_version=mqtt_client.CallbackAPIVersion.VERSION1)
2025-05-29 15:37:27,178 - api_rest - INFO - Connecté au broker MQTT! ID client: api_rest_e6626c05
2025-05-29 15:37:27,178 - api_rest - INFO - Abonné au topic: iot/parking/#
2025-05-29 15:37:27,178 - api_rest - INFO - Abonné au topic: iot/batiments/#
2025-05-29 15:37:27,179 - api_rest - INFO - Abonné au topic: iot/wifi/#
2025-05-29 15:37:27,179 - api_rest - INFO - Abonné au topic: iot/meteo/#
2025-05-29 15:37:27,179 - api_rest - INFO - Abonné au topic: iot/transport/#
2025-05-29 15:37:27,179 - api_rest - INFO - Nettoyage des données anciennes effectué
2025-05-29 15:37:27,180 - api_rest - INFO - Démarrage de l'API REST sur 0.0.0.0:5000
2025-05-29 15:37:27,180 - werkzeug - WARNING - Werkzeug appears to be used in a production deployment. Consider switching to a production web server instead.
 * Serving Flask app 'app'
 * Debug mode: off
2025-05-29 15:37:27,186 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.3.133:5000
2025-05-29 15:37:50,801 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/parking HTTP/1.1" 200 -
2025-05-29 15:37:50,813 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:50,836 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/parking HTTP/1.1" 200 -
2025-05-29 15:37:50,849 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:50,852 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:50,879 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:50,909 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:50,917 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:50,919 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:50,933 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:50,941 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:50,962 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:50] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:51,200 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:51,253 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:51,262 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/parking HTTP/1.1" 200 -
2025-05-29 15:37:51,283 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:51,307 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:51,319 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/parking HTTP/1.1" 200 -
2025-05-29 15:37:51,337 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:51,345 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:51,353 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/parking HTTP/1.1" 200 -
2025-05-29 15:37:51,387 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:51,401 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:51,428 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:51,436 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:51,460 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:51,484 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:51,500 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:51,528 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/parking HTTP/1.1" 200 -
2025-05-29 15:37:51,540 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:51,553 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/parking HTTP/1.1" 200 -
2025-05-29 15:37:51,567 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:51,600 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:51,605 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/parking HTTP/1.1" 200 -
2025-05-29 15:37:51,625 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/parking HTTP/1.1" 200 -
2025-05-29 15:37:51,660 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:51,697 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:51,717 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:51,737 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:51,752 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:51,761 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:51,792 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:51,802 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:51,806 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:51,830 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:51,864 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:51,933 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:51,944 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:51] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:52,024 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:52,036 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:52,042 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/batiments HTTP/1.1" 200 -
2025-05-29 15:37:52,071 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:52,115 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:52,118 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:52,137 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:52,146 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:52,251 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:52,413 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:52,424 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:52,433 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:52,499 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:52,522 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:52,536 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:52,545 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:52,550 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:52,562 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/wifi HTTP/1.1" 200 -
2025-05-29 15:37:52,582 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:52,593 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/transport/bus HTTP/1.1" 200 -
2025-05-29 15:37:52,629 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/meteo HTTP/1.1" 200 -
2025-05-29 15:37:52,667 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/transport/taxi HTTP/1.1" 200 -
2025-05-29 15:37:52,709 - werkzeug - INFO - 127.0.0.1 - - [29/May/2025 15:37:52] "GET /api/transport/taxi HTTP/1.1" 200 -
